Product Number,Current In-Stock,Product Name,Flight Numbers
2406.0,0,IDye St Roadrunner,9 | 5 | -4 | 1
2407.0,0,IDye St  Toro,4 | 2 | 1 | 3
2408.0,0,IDye St  Wraith,11 | 5 | -1 | 3
2502.0,0,ID Ch Aviar,2 | 3 | 0 | 1
2503.0,0,ID Ch Beast,10 | 5 | -2 | 2
2504.0,0,ID Ch Boss,13 | 5 | 0 | 3
2505.0,0,ID Ch Daedalus,13 | 6 | -3 | 2
2506.0,0,ID Ch Destroyer,12 | 5 | -1 | 3
2507.0,out,ID Ch Eagle,7 | 4 | -1 | 3
2508.0,0,ID Ch Firebird,9 | 3 | 0 | 4
2509.0,out,ID Ch Firestorm,14 | 4 | -1 | 3
2510.0,out,ID Ch Hawkeye,7 | 5 | -1 | 1
2511.0,0,ID Ch IT,7 | 6 | -2 | 1
2512.0,0,ID Ch Katana,13 | 5 | -3 | 3
2513.0,0,ID Ch Leopard,6 | 5 | -2 | 1
2514.0,0,ID Ch Leopard3,7 | 5 | -2 | 1
2515.0,0,ID Ch Mamba,11 | 6 | -5 | 1
2516.0,0,ID Ch Orc,10 | 4 | -1 | 3
2517.0,0,ID Ch Roadrunner,9 | 5 | -4 | 1
2518.0,0,ID Ch Sidewinder,9 | 5 | -3 | 1
2519.0,0,ID Ch Teebird,7 | 5 | 0 | 2
2520.0,0,ID Ch Teebird3,8 | 4 | 0 | 2
2521.0,0,ID Ch Tern,12 | 6 | -2 | 2
2522.0,0,ID Ch Thunderbird,9 | 5 | 0 | 2
2523.0,0,ID Ch TL,7 | 5 | -1 | 1
2524.0,0,ID Ch TL3,8 | 4 | -1 | 1
2525.0,0,ID Ch Wraith,11 | 5 | -1 | 3
1302.0,0,Classic Glow DX Roc,4 | 4 | 0 | 3
472.0,out,Glow Ch RocX3,5 | 4 | 0 | 3.5
2702.0,0,Classic Glow DX Aviar,2 | 3 | 0 | 1
2703.0,0,Classic Glow DX Beast,10 | 5 | -2 | 2
2704.0,0,Classic Glow DX TL,7 | 5 | -1 | 1
2705.0,0,Classic Glow DX Valkyrie,9 | 4 | -2 | 2
2706.0,0,Classic Glow DX Wraith,11 | 5 | -1 | 3
2707.0,0,Classic Glow Ch Leopard3,7 | 5 | -2 | 1
2708.0,0,Classic Glow Ch Shryke,13 | 6 | -1 | 2
2709.0,0,Classic Glow Ch Tern,12 | 6 | -2 | 2
2710.0,0,Classic Glow Ch Valkyrie,9 | 4 | -2 | 2
